arm,e2b_calibration_accuracy,e2b_validation_accuracy,e2b_delta_vs_direct_pp,e2b_validation_rank,e2b_mean_completion_tokens,e4b_calibration_accuracy,e4b_validation_accuracy,e4b_delta_vs_direct_pp,e4b_validation_rank,e4b_mean_completion_tokens
concise_cot_self_rank_k3,0.3406666666666667,0.3395973154362416,8.926174496644295,1.0,689.9771812080537,0.38866666666666666,0.3912751677852349,6.577181208053695,1.0,674.5986577181208
canonical_short,0.2673333333333333,0.27114093959731544,2.080536912751679,2.0,19.763087248322147,0.314,0.33557046979865773,1.0067114093959773,3.0,13.828187919463087
direct_answer,0.254,0.25033557046979865,0.0,3.0,12.93288590604027,0.31133333333333335,0.32550335570469796,0.0,6.0,6.76510067114094
option_elimination,0.24266666666666667,0.2395973154362416,-1.073825503355705,4.0,23.869127516778523,0.28933333333333333,0.31342281879194633,-1.2080536912751627,12.0,23.64496644295302
compare_then_commit,0.212,0.22348993288590605,-2.6845637583892605,7.0,20.325503355704697,0.308,0.3268456375838926,0.13422818791946622,5.0,13.636912751677853
counterexample_guard,0.23066666666666666,0.22013422818791947,-3.020134228187918,8.0,23.869127516778523,0.30133333333333334,0.32483221476510066,-0.06711409395973034,7.0,11.979865771812081
native_format,0.234,0.22818791946308725,-2.2147651006711397,5.0,30.43221476510067,0.2946666666666667,0.31476510067114094,-1.073825503355702,10.5,23.433557046979868
rank_two_paths,0.214,0.21879194630872484,-3.1543624161073813,10.0,14.54026845637584,0.30133333333333334,0.3221476510067114,-0.33557046979865723,8.0,11.586577181208053
selective_verify,0.238,0.22550335570469798,-2.483221476510067,6.0,28.828859060402685,0.3006666666666667,0.31476510067114094,-1.073825503355702,10.5,13.20738255033557
private_verify,0.19866666666666666,0.19731543624161074,-5.302013422818791,13.5,17.75973154362416,0.322,0.3422818791946309,1.6778523489932917,2.0,8.21476510067114
constraint_guard,0.21333333333333335,0.20939597315436242,-4.093959731543623,11.0,18.101342281879194,0.30933333333333335,0.3288590604026846,0.3355704697986628,4.0,12.614765100671141
careful_direct,0.218,0.19731543624161074,-5.302013422818791,13.5,36.870469798657716,0.30733333333333335,0.3174496644295302,-0.8053691275167751,9.0,15.633557046979865
condition_reconstruction,0.214,0.20738255033557046,-4.29530201342282,12.0,17.27248322147651,0.2966666666666667,0.3073825503355705,-1.8120805369127468,13.0,14.630872483221477
answer_type_router,0.21,0.21946308724832214,-3.087248322147651,9.0,17.691946308724834,0.26866666666666666,0.28120805369127516,-4.4295302013422795,15.0,9.473825503355705
chain_of_draft,0.192,0.17651006711409395,-7.38255033557047,17.0,168.96107382550335,0.3006666666666667,0.287248322147651,-3.825503355704696,14.0,154.42080536912752
concise_cot_sc_k3,0.18466666666666667,0.19261744966442954,-5.771812080536912,15.0,681.3785234899328,0.25733333333333336,0.2530201342281879,-7.248322147651004,17.0,665.1637583892617
concise_cot,0.186,0.1738255033557047,-7.651006711409394,18.0,226.43959731543623,0.246,0.24295302013422818,-8.255033557046978,18.0,221.68724832214764
premise_conclusion,0.178,0.1651006711409396,-8.523489932885905,19.0,231.01275167785235,0.25266666666666665,0.23758389261744967,-8.79194630872483,19.0,226.33154362416107
draft_verify,0.11533333333333333,0.10335570469798658,-14.697986577181208,21.0,71.95436241610739,0.27,0.2758389261744966,-4.966442953020134,16.0,23.315436241610737
negation_label_guard,0.13333333333333333,0.1261744966442953,-12.416107382550335,20.0,81.51543624161074,0.18866666666666668,0.20134228187919462,-12.416107382550335,20.0,70.12953020134228
direct_key_condition_refine,0.19333333333333333,0.18993288590604027,-6.040268456375839,16.0,35.87986577181208,0.13,0.12818791946308725,-19.73154362416107,22.0,49.725503355704696
fast_slow_gate,0.08266666666666667,0.08523489932885905,-16.51006711409396,22.5,87.60738255033557,0.192,0.1906040268456376,-13.489932885906036,21.0,65.30268456375839
strict_json,0.07866666666666666,0.08523489932885905,-16.51006711409396,22.5,64.60268456375839,0.11866666666666667,0.1261744966442953,-19.932885906040266,23.0,73.32684563758389
step_back,0.05,0.04093959731543624,-20.93959731543624,24.5,251.78926174496644,0.08066666666666666,0.08926174496644296,-23.6241610738255,24.0,248.5959731543624
plan_and_solve,0.043333333333333335,0.04093959731543624,-20.93959731543624,24.5,252.8040268456376,0.06933333333333333,0.059731543624161075,-26.57718120805369,25.0,251.38590604026845
least_to_most,0.024666666666666667,0.018120805369127517,-23.221476510067113,27.5,254.60671140939598,0.034,0.03758389261744966,-28.79194630872483,26.0,253.86308724832216
raw,0.014666666666666666,0.020134228187919462,-23.02013422818792,26.0,226.78322147651008,0.024,0.02214765100671141,-30.335570469798657,27.5,219.8288590604027
symbolic_proof,0.024666666666666667,0.018120805369127517,-23.221476510067113,27.5,255.2758389261745,0.022,0.02214765100671141,-30.335570469798657,27.5,254.751677852349
plan_and_solve_plus,0.016,0.012751677852348993,-23.758389261744966,29.0,255.1771812080537,0.022,0.02080536912751678,-30.469798657718115,29.0,254.71812080536913
