25/9550 correct=15 acc=0.600
50/9550 correct=32 acc=0.640
75/9550 correct=48 acc=0.640
100/9550 correct=64 acc=0.640
125/9550 correct=83 acc=0.664
150/9550 correct=98 acc=0.653
175/9550 correct=120 acc=0.686
200/9550 correct=139 acc=0.695
225/9550 correct=152 acc=0.676
250/9550 correct=167 acc=0.668
275/9550 correct=180 acc=0.655
300/9550 correct=191 acc=0.637
325/9550 correct=206 acc=0.634
350/9550 correct=215 acc=0.614
375/9550 correct=224 acc=0.597
400/9550 correct=230 acc=0.575
425/9550 correct=236 acc=0.555
450/9550 correct=239 acc=0.531
475/9550 correct=245 acc=0.516
500/9550 correct=255 acc=0.510
525/9550 correct=264 acc=0.503
550/9550 correct=275 acc=0.500
575/9550 correct=290 acc=0.504
600/9550 correct=305 acc=0.508
625/9550 correct=321 acc=0.514
650/9550 correct=341 acc=0.525
675/9550 correct=356 acc=0.527
700/9550 correct=369 acc=0.527
725/9550 correct=383 acc=0.528
750/9550 correct=391 acc=0.521
775/9550 correct=391 acc=0.505
800/9550 correct=391 acc=0.489
825/9550 correct=391 acc=0.474
850/9550 correct=391 acc=0.460
875/9550 correct=391 acc=0.447
900/9550 correct=391 acc=0.434
925/9550 correct=391 acc=0.423
950/9550 correct=396 acc=0.417
975/9550 correct=413 acc=0.424
1000/9550 correct=426 acc=0.426
1025/9550 correct=445 acc=0.434
1050/9550 correct=460 acc=0.438
1075/9550 correct=473 acc=0.440
1100/9550 correct=489 acc=0.445
1125/9550 correct=496 acc=0.441
1150/9550 correct=504 acc=0.438
1175/9550 correct=515 acc=0.438
1200/9550 correct=519 acc=0.432
1225/9550 correct=525 acc=0.429
1250/9550 correct=530 acc=0.424
1275/9550 correct=534 acc=0.419
1300/9550 correct=538 acc=0.414
1325/9550 correct=547 acc=0.413
1350/9550 correct=562 acc=0.416
1375/9550 correct=585 acc=0.425
1400/9550 correct=608 acc=0.434
1425/9550 correct=633 acc=0.444
1450/9550 correct=653 acc=0.450
1475/9550 correct=677 acc=0.459
1500/9550 correct=702 acc=0.468
1525/9550 correct=727 acc=0.477
1550/9550 correct=743 acc=0.479
1575/9550 correct=752 acc=0.477
1600/9550 correct=766 acc=0.479
1625/9550 correct=781 acc=0.481
1650/9550 correct=792 acc=0.480
1675/9550 correct=803 acc=0.479
1700/9550 correct=813 acc=0.478
1725/9550 correct=830 acc=0.481
1750/9550 correct=840 acc=0.480
1775/9550 correct=853 acc=0.481
1800/9550 correct=866 acc=0.481
1825/9550 correct=883 acc=0.484
1850/9550 correct=895 acc=0.484
1875/9550 correct=908 acc=0.484
1900/9550 correct=921 acc=0.485
1925/9550 correct=935 acc=0.486
1950/9550 correct=955 acc=0.490
1975/9550 correct=975 acc=0.494
2000/9550 correct=995 acc=0.497
2025/9550 correct=1012 acc=0.500
2050/9550 correct=1032 acc=0.503
2075/9550 correct=1049 acc=0.506
2100/9550 correct=1069 acc=0.509
2125/9550 correct=1091 acc=0.513
2150/9550 correct=1101 acc=0.512
2175/9550 correct=1106 acc=0.509
2200/9550 correct=1110 acc=0.505
2225/9550 correct=1116 acc=0.502
2250/9550 correct=1119 acc=0.497
2275/9550 correct=1121 acc=0.493
2300/9550 correct=1124 acc=0.489
2325/9550 correct=1131 acc=0.486
2350/9550 correct=1133 acc=0.482
2375/9550 correct=1134 acc=0.477
2400/9550 correct=1134 acc=0.472
2425/9550 correct=1135 acc=0.468
2450/9550 correct=1135 acc=0.463
2475/9550 correct=1135 acc=0.459
2500/9550 correct=1136 acc=0.454
2525/9550 correct=1136 acc=0.450
2550/9550 correct=1144 acc=0.449
2575/9550 correct=1157 acc=0.449
2600/9550 correct=1173 acc=0.451
2625/9550 correct=1187 acc=0.452
2650/9550 correct=1204 acc=0.454
2675/9550 correct=1220 acc=0.456
2700/9550 correct=1233 acc=0.457
2725/9550 correct=1246 acc=0.457
2750/9550 correct=1261 acc=0.459
2775/9550 correct=1273 acc=0.459
2800/9550 correct=1286 acc=0.459
2825/9550 correct=1299 acc=0.460
2850/9550 correct=1310 acc=0.460
2875/9550 correct=1326 acc=0.461
2900/9550 correct=1345 acc=0.464
2925/9550 correct=1356 acc=0.464
2950/9550 correct=1367 acc=0.463
2975/9550 correct=1369 acc=0.460
3000/9550 correct=1374 acc=0.458
3025/9550 correct=1379 acc=0.456
3050/9550 correct=1389 acc=0.455
3075/9550 correct=1400 acc=0.455
3100/9550 correct=1413 acc=0.456
3125/9550 correct=1425 acc=0.456
3150/9550 correct=1435 acc=0.456
3175/9550 correct=1451 acc=0.457
3200/9550 correct=1464 acc=0.458
3225/9550 correct=1474 acc=0.457
3250/9550 correct=1481 acc=0.456
3275/9550 correct=1487 acc=0.454
3300/9550 correct=1496 acc=0.453
3325/9550 correct=1507 acc=0.453
3350/9550 correct=1517 acc=0.453
3375/9550 correct=1526 acc=0.452
3400/9550 correct=1535 acc=0.451
3425/9550 correct=1541 acc=0.450
3450/9550 correct=1550 acc=0.449
3475/9550 correct=1561 acc=0.449
3500/9550 correct=1575 acc=0.450
3525/9550 correct=1588 acc=0.450
3550/9550 correct=1603 acc=0.452
3575/9550 correct=1619 acc=0.453
3600/9550 correct=1630 acc=0.453
3625/9550 correct=1643 acc=0.453
3650/9550 correct=1664 acc=0.456
3675/9550 correct=1682 acc=0.458
3700/9550 correct=1699 acc=0.459
3725/9550 correct=1715 acc=0.460
3750/9550 correct=1736 acc=0.463
3775/9550 correct=1751 acc=0.464
3800/9550 correct=1760 acc=0.463
3825/9550 correct=1766 acc=0.462
3850/9550 correct=1774 acc=0.461
3875/9550 correct=1781 acc=0.460
3900/9550 correct=1791 acc=0.459
3925/9550 correct=1798 acc=0.458
3950/9550 correct=1802 acc=0.456
3975/9550 correct=1813 acc=0.456
4000/9550 correct=1829 acc=0.457
4025/9550 correct=1841 acc=0.457
4050/9550 correct=1854 acc=0.458
4075/9550 correct=1870 acc=0.459
4100/9550 correct=1883 acc=0.459
4125/9550 correct=1899 acc=0.460
4150/9550 correct=1913 acc=0.461
4175/9550 correct=1924 acc=0.461
4200/9550 correct=1931 acc=0.460
4225/9550 correct=1933 acc=0.458
4250/9550 correct=1942 acc=0.457
4275/9550 correct=1949 acc=0.456
4300/9550 correct=1954 acc=0.454
4325/9550 correct=1960 acc=0.453
4350/9550 correct=1967 acc=0.452
4375/9550 correct=1968 acc=0.450
4400/9550 correct=1970 acc=0.448
4425/9550 correct=1977 acc=0.447
4450/9550 correct=1985 acc=0.446
4475/9550 correct=1988 acc=0.444
4500/9550 correct=1991 acc=0.442
4525/9550 correct=1996 acc=0.441
4550/9550 correct=2000 acc=0.440
4575/9550 correct=2007 acc=0.439
4600/9550 correct=2016 acc=0.438
4625/9550 correct=2023 acc=0.437
4650/9550 correct=2029 acc=0.436
4675/9550 correct=2035 acc=0.435
4700/9550 correct=2046 acc=0.435
4725/9550 correct=2054 acc=0.435
4750/9550 correct=2059 acc=0.433
4775/9550 correct=2064 acc=0.432
4800/9550 correct=2064 acc=0.430
4825/9550 correct=2064 acc=0.428
4850/9550 correct=2064 acc=0.426
4875/9550 correct=2064 acc=0.423
4900/9550 correct=2064 acc=0.421
4925/9550 correct=2064 acc=0.419
4950/9550 correct=2064 acc=0.417
4975/9550 correct=2066 acc=0.415
5000/9550 correct=2071 acc=0.414
5025/9550 correct=2075 acc=0.413
5050/9550 correct=2080 acc=0.412
5075/9550 correct=2090 acc=0.412
5100/9550 correct=2095 acc=0.411
5125/9550 correct=2100 acc=0.410
5150/9550 correct=2104 acc=0.409
5175/9550 correct=2114 acc=0.409
5200/9550 correct=2119 acc=0.407
5225/9550 correct=2128 acc=0.407
5250/9550 correct=2142 acc=0.408
5275/9550 correct=2144 acc=0.406
5300/9550 correct=2159 acc=0.407
5325/9550 correct=2165 acc=0.407
5350/9550 correct=2177 acc=0.407
5375/9550 correct=2179 acc=0.405
5400/9550 correct=2184 acc=0.404
5425/9550 correct=2189 acc=0.404
5450/9550 correct=2193 acc=0.402
5475/9550 correct=2194 acc=0.401
5500/9550 correct=2195 acc=0.399
5525/9550 correct=2195 acc=0.397
5550/9550 correct=2195 acc=0.395
5575/9550 correct=2195 acc=0.394
5600/9550 correct=2195 acc=0.392
5625/9550 correct=2203 acc=0.392
5650/9550 correct=2209 acc=0.391
5675/9550 correct=2216 acc=0.390
5700/9550 correct=2226 acc=0.391
5725/9550 correct=2241 acc=0.391
5750/9550 correct=2256 acc=0.392
5775/9550 correct=2265 acc=0.392
5800/9550 correct=2274 acc=0.392
5825/9550 correct=2284 acc=0.392
5850/9550 correct=2286 acc=0.391
