25/12540 correct=18 acc=0.720
50/12540 correct=41 acc=0.820
75/12540 correct=62 acc=0.827
100/12540 correct=82 acc=0.820
125/12540 correct=102 acc=0.816
150/12540 correct=117 acc=0.780
175/12540 correct=134 acc=0.766
200/12540 correct=149 acc=0.745
225/12540 correct=165 acc=0.733
250/12540 correct=182 acc=0.728
275/12540 correct=197 acc=0.716
300/12540 correct=213 acc=0.710
325/12540 correct=230 acc=0.708
350/12540 correct=247 acc=0.706
375/12540 correct=257 acc=0.685
400/12540 correct=273 acc=0.682
425/12540 correct=289 acc=0.680
450/12540 correct=304 acc=0.676
475/12540 correct=317 acc=0.667
500/12540 correct=332 acc=0.664
525/12540 correct=344 acc=0.655
550/12540 correct=358 acc=0.651
575/12540 correct=370 acc=0.643
600/12540 correct=381 acc=0.635
625/12540 correct=391 acc=0.626
650/12540 correct=403 acc=0.620
675/12540 correct=417 acc=0.618
700/12540 correct=431 acc=0.616
725/12540 correct=446 acc=0.615
750/12540 correct=458 acc=0.611
775/12540 correct=472 acc=0.609
800/12540 correct=487 acc=0.609
825/12540 correct=499 acc=0.605
850/12540 correct=514 acc=0.605
875/12540 correct=529 acc=0.605
900/12540 correct=546 acc=0.607
925/12540 correct=557 acc=0.602
950/12540 correct=561 acc=0.591
975/12540 correct=562 acc=0.576
1000/12540 correct=564 acc=0.564
1025/12540 correct=564 acc=0.550
1050/12540 correct=566 acc=0.539
1075/12540 correct=568 acc=0.528
1100/12540 correct=568 acc=0.516
1125/12540 correct=571 acc=0.508
1150/12540 correct=574 acc=0.499
1175/12540 correct=575 acc=0.489
1200/12540 correct=583 acc=0.486
1225/12540 correct=596 acc=0.487
1250/12540 correct=608 acc=0.486
1275/12540 correct=624 acc=0.489
1300/12540 correct=641 acc=0.493
1325/12540 correct=660 acc=0.498
1350/12540 correct=676 acc=0.501
1375/12540 correct=694 acc=0.505
1400/12540 correct=712 acc=0.509
1425/12540 correct=722 acc=0.507
1450/12540 correct=733 acc=0.506
1475/12540 correct=739 acc=0.501
1500/12540 correct=748 acc=0.499
1525/12540 correct=758 acc=0.497
1550/12540 correct=765 acc=0.494
1575/12540 correct=774 acc=0.491
1600/12540 correct=781 acc=0.488
1625/12540 correct=786 acc=0.484
1650/12540 correct=791 acc=0.479
1675/12540 correct=800 acc=0.478
1700/12540 correct=813 acc=0.478
1725/12540 correct=838 acc=0.486
1750/12540 correct=861 acc=0.492
1775/12540 correct=885 acc=0.499
1800/12540 correct=908 acc=0.504
1825/12540 correct=933 acc=0.511
1850/12540 correct=955 acc=0.516
1875/12540 correct=979 acc=0.522
1900/12540 correct=1003 acc=0.528
1925/12540 correct=1026 acc=0.533
1950/12540 correct=1043 acc=0.535
1975/12540 correct=1060 acc=0.537
2000/12540 correct=1077 acc=0.538
2025/12540 correct=1093 acc=0.540
2050/12540 correct=1112 acc=0.542
2075/12540 correct=1125 acc=0.542
2100/12540 correct=1147 acc=0.546
2125/12540 correct=1164 acc=0.548
2150/12540 correct=1178 acc=0.548
2175/12540 correct=1197 acc=0.550
2200/12540 correct=1213 acc=0.551
2225/12540 correct=1226 acc=0.551
2250/12540 correct=1239 acc=0.551
2275/12540 correct=1255 acc=0.552
2300/12540 correct=1271 acc=0.553
2325/12540 correct=1290 acc=0.555
2350/12540 correct=1304 acc=0.555
2375/12540 correct=1320 acc=0.556
2400/12540 correct=1335 acc=0.556
2425/12540 correct=1352 acc=0.558
2450/12540 correct=1373 acc=0.560
2475/12540 correct=1392 acc=0.562
2500/12540 correct=1415 acc=0.566
2525/12540 correct=1436 acc=0.569
2550/12540 correct=1461 acc=0.573
2575/12540 correct=1483 acc=0.576
2600/12540 correct=1506 acc=0.579
2625/12540 correct=1527 acc=0.582
2650/12540 correct=1548 acc=0.584
2675/12540 correct=1571 acc=0.587
2700/12540 correct=1590 acc=0.589
2725/12540 correct=1606 acc=0.589
2750/12540 correct=1621 acc=0.589
2775/12540 correct=1638 acc=0.590
2800/12540 correct=1653 acc=0.590
2825/12540 correct=1666 acc=0.590
2850/12540 correct=1681 acc=0.590
2875/12540 correct=1697 acc=0.590
2900/12540 correct=1709 acc=0.589
2925/12540 correct=1724 acc=0.589
2950/12540 correct=1734 acc=0.588
2975/12540 correct=1735 acc=0.583
3000/12540 correct=1735 acc=0.578
3025/12540 correct=1736 acc=0.574
3050/12540 correct=1737 acc=0.570
3075/12540 correct=1737 acc=0.565
3100/12540 correct=1738 acc=0.561
3125/12540 correct=1739 acc=0.556
3150/12540 correct=1739 acc=0.552
3175/12540 correct=1739 acc=0.548
3200/12540 correct=1748 acc=0.546
3225/12540 correct=1762 acc=0.546
3250/12540 correct=1777 acc=0.547
3275/12540 correct=1790 acc=0.547
3300/12540 correct=1807 acc=0.548
3325/12540 correct=1822 acc=0.548
3350/12540 correct=1841 acc=0.550
3375/12540 correct=1860 acc=0.551
3400/12540 correct=1872 acc=0.551
3425/12540 correct=1887 acc=0.551
3450/12540 correct=1904 acc=0.552
3475/12540 correct=1921 acc=0.553
3500/12540 correct=1933 acc=0.552
3525/12540 correct=1943 acc=0.551
3550/12540 correct=1962 acc=0.553
3575/12540 correct=1977 acc=0.553
3600/12540 correct=1993 acc=0.554
3625/12540 correct=2014 acc=0.556
3650/12540 correct=2028 acc=0.556
3675/12540 correct=2042 acc=0.556
3700/12540 correct=2052 acc=0.555
3725/12540 correct=2067 acc=0.555
3750/12540 correct=2087 acc=0.557
3775/12540 correct=2095 acc=0.555
3800/12540 correct=2108 acc=0.555
3825/12540 correct=2123 acc=0.555
3850/12540 correct=2142 acc=0.556
3875/12540 correct=2163 acc=0.558
3900/12540 correct=2181 acc=0.559
3925/12540 correct=2203 acc=0.561
3950/12540 correct=2221 acc=0.562
3975/12540 correct=2239 acc=0.563
4000/12540 correct=2257 acc=0.564
4025/12540 correct=2277 acc=0.566
4050/12540 correct=2298 acc=0.567
4075/12540 correct=2313 acc=0.568
4100/12540 correct=2328 acc=0.568
4125/12540 correct=2345 acc=0.568
4150/12540 correct=2359 acc=0.568
4175/12540 correct=2377 acc=0.569
4200/12540 correct=2393 acc=0.570
4225/12540 correct=2411 acc=0.571
4250/12540 correct=2430 acc=0.572
4275/12540 correct=2452 acc=0.574
4300/12540 correct=2469 acc=0.574
4325/12540 correct=2487 acc=0.575
4350/12540 correct=2501 acc=0.575
4375/12540 correct=2515 acc=0.575
4400/12540 correct=2531 acc=0.575
4425/12540 correct=2543 acc=0.575
4450/12540 correct=2559 acc=0.575
4475/12540 correct=2573 acc=0.575
4500/12540 correct=2590 acc=0.576
4525/12540 correct=2607 acc=0.576
4550/12540 correct=2623 acc=0.576
4575/12540 correct=2633 acc=0.576
4600/12540 correct=2649 acc=0.576
4625/12540 correct=2667 acc=0.577
4650/12540 correct=2685 acc=0.577
4675/12540 correct=2702 acc=0.578
4700/12540 correct=2722 acc=0.579
4725/12540 correct=2739 acc=0.580
4750/12540 correct=2757 acc=0.580
4775/12540 correct=2773 acc=0.581
4800/12540 correct=2782 acc=0.580
4825/12540 correct=2798 acc=0.580
4850/12540 correct=2812 acc=0.580
4875/12540 correct=2826 acc=0.580
4900/12540 correct=2837 acc=0.579
4925/12540 correct=2851 acc=0.579
4950/12540 correct=2863 acc=0.578
4975/12540 correct=2873 acc=0.577
