25/11031 correct=22 acc=0.880
50/11031 correct=43 acc=0.860
75/11031 correct=63 acc=0.840
100/11031 correct=84 acc=0.840
125/11031 correct=102 acc=0.816
150/11031 correct=126 acc=0.840
175/11031 correct=149 acc=0.851
200/11031 correct=173 acc=0.865
225/11031 correct=196 acc=0.871
250/11031 correct=216 acc=0.864
275/11031 correct=227 acc=0.825
300/11031 correct=240 acc=0.800
325/11031 correct=253 acc=0.778
350/11031 correct=262 acc=0.749
375/11031 correct=274 acc=0.731
400/11031 correct=289 acc=0.723
425/11031 correct=306 acc=0.720
450/11031 correct=320 acc=0.711
475/11031 correct=332 acc=0.699
500/11031 correct=349 acc=0.698
525/11031 correct=364 acc=0.693
550/11031 correct=382 acc=0.695
575/11031 correct=397 acc=0.690
600/11031 correct=412 acc=0.687
625/11031 correct=427 acc=0.683
650/11031 correct=443 acc=0.682
675/11031 correct=459 acc=0.680
700/11031 correct=477 acc=0.681
725/11031 correct=486 acc=0.670
750/11031 correct=496 acc=0.661
775/11031 correct=512 acc=0.661
800/11031 correct=530 acc=0.662
825/11031 correct=539 acc=0.653
850/11031 correct=553 acc=0.651
875/11031 correct=565 acc=0.646
900/11031 correct=580 acc=0.644
925/11031 correct=592 acc=0.640
950/11031 correct=596 acc=0.627
975/11031 correct=596 acc=0.611
1000/11031 correct=596 acc=0.596
1025/11031 correct=596 acc=0.581
1050/11031 correct=596 acc=0.568
1075/11031 correct=596 acc=0.554
1100/11031 correct=597 acc=0.543
1125/11031 correct=599 acc=0.532
1150/11031 correct=601 acc=0.523
1175/11031 correct=602 acc=0.512
1200/11031 correct=607 acc=0.506
1225/11031 correct=609 acc=0.497
1250/11031 correct=612 acc=0.490
1275/11031 correct=613 acc=0.481
1300/11031 correct=616 acc=0.474
1325/11031 correct=620 acc=0.468
1350/11031 correct=620 acc=0.459
1375/11031 correct=622 acc=0.452
1400/11031 correct=627 acc=0.448
1425/11031 correct=627 acc=0.440
1450/11031 correct=632 acc=0.436
1475/11031 correct=634 acc=0.430
1500/11031 correct=638 acc=0.425
1525/11031 correct=645 acc=0.423
1550/11031 correct=647 acc=0.417
1575/11031 correct=652 acc=0.414
1600/11031 correct=656 acc=0.410
1625/11031 correct=663 acc=0.408
1650/11031 correct=665 acc=0.403
1675/11031 correct=668 acc=0.399
1700/11031 correct=681 acc=0.401
1725/11031 correct=706 acc=0.409
1750/11031 correct=731 acc=0.418
1775/11031 correct=755 acc=0.425
1800/11031 correct=779 acc=0.433
1825/11031 correct=803 acc=0.440
1850/11031 correct=827 acc=0.447
1875/11031 correct=850 acc=0.453
1900/11031 correct=873 acc=0.459
1925/11031 correct=896 acc=0.465
1950/11031 correct=906 acc=0.465
1975/11031 correct=910 acc=0.461
2000/11031 correct=914 acc=0.457
2025/11031 correct=919 acc=0.454
2050/11031 correct=920 acc=0.449
2075/11031 correct=920 acc=0.443
2100/11031 correct=925 acc=0.440
2125/11031 correct=928 acc=0.437
2150/11031 correct=928 acc=0.432
2175/11031 correct=934 acc=0.429
2200/11031 correct=935 acc=0.425
2225/11031 correct=935 acc=0.420
2250/11031 correct=935 acc=0.416
2275/11031 correct=935 acc=0.411
