25/11031 correct=24 acc=0.960
50/11031 correct=49 acc=0.980
75/11031 correct=73 acc=0.973
100/11031 correct=98 acc=0.980
125/11031 correct=122 acc=0.976
150/11031 correct=146 acc=0.973
175/11031 correct=170 acc=0.971
200/11031 correct=194 acc=0.970
225/11031 correct=218 acc=0.969
250/11031 correct=239 acc=0.956
275/11031 correct=248 acc=0.902
300/11031 correct=260 acc=0.867
325/11031 correct=274 acc=0.843
350/11031 correct=286 acc=0.817
375/11031 correct=297 acc=0.792
400/11031 correct=307 acc=0.767
425/11031 correct=325 acc=0.765
450/11031 correct=339 acc=0.753
475/11031 correct=350 acc=0.737
500/11031 correct=368 acc=0.736
525/11031 correct=383 acc=0.730
550/11031 correct=401 acc=0.729
575/11031 correct=418 acc=0.727
600/11031 correct=432 acc=0.720
625/11031 correct=446 acc=0.714
650/11031 correct=464 acc=0.714
675/11031 correct=476 acc=0.705
700/11031 correct=493 acc=0.704
725/11031 correct=501 acc=0.691
750/11031 correct=511 acc=0.681
775/11031 correct=522 acc=0.674
800/11031 correct=539 acc=0.674
825/11031 correct=545 acc=0.661
850/11031 correct=561 acc=0.660
875/11031 correct=571 acc=0.653
900/11031 correct=586 acc=0.651
925/11031 correct=594 acc=0.642
950/11031 correct=598 acc=0.629
975/11031 correct=598 acc=0.613
1000/11031 correct=598 acc=0.598
1025/11031 correct=598 acc=0.583
1050/11031 correct=599 acc=0.570
1075/11031 correct=599 acc=0.557
1100/11031 correct=599 acc=0.545
1125/11031 correct=600 acc=0.533
1150/11031 correct=600 acc=0.522
1175/11031 correct=601 acc=0.511
1200/11031 correct=602 acc=0.502
1225/11031 correct=604 acc=0.493
1250/11031 correct=606 acc=0.485
1275/11031 correct=606 acc=0.475
1300/11031 correct=607 acc=0.467
1325/11031 correct=610 acc=0.460
1350/11031 correct=610 acc=0.452
1375/11031 correct=610 acc=0.444
1400/11031 correct=611 acc=0.436
1425/11031 correct=611 acc=0.429
1450/11031 correct=612 acc=0.422
1475/11031 correct=612 acc=0.415
1500/11031 correct=616 acc=0.411
1525/11031 correct=623 acc=0.409
1550/11031 correct=624 acc=0.403
1575/11031 correct=628 acc=0.399
1600/11031 correct=632 acc=0.395
1625/11031 correct=634 acc=0.390
1650/11031 correct=636 acc=0.385
1675/11031 correct=639 acc=0.381
1700/11031 correct=652 acc=0.384
1725/11031 correct=673 acc=0.390
