25/11031 correct=18 acc=0.720
50/11031 correct=42 acc=0.840
75/11031 correct=61 acc=0.813
100/11031 correct=82 acc=0.820
125/11031 correct=100 acc=0.800
150/11031 correct=115 acc=0.767
175/11031 correct=132 acc=0.754
200/11031 correct=149 acc=0.745
225/11031 correct=165 acc=0.733
250/11031 correct=184 acc=0.736
275/11031 correct=199 acc=0.724
300/11031 correct=215 acc=0.717
325/11031 correct=232 acc=0.714
350/11031 correct=249 acc=0.711
375/11031 correct=261 acc=0.696
400/11031 correct=276 acc=0.690
425/11031 correct=292 acc=0.687
450/11031 correct=299 acc=0.664
475/11031 correct=300 acc=0.632
500/11031 correct=303 acc=0.606
525/11031 correct=305 acc=0.581
550/11031 correct=307 acc=0.558
575/11031 correct=310 acc=0.539
600/11031 correct=312 acc=0.520
625/11031 correct=312 acc=0.499
650/11031 correct=316 acc=0.486
675/11031 correct=317 acc=0.470
700/11031 correct=325 acc=0.464
725/11031 correct=337 acc=0.465
750/11031 correct=349 acc=0.465
775/11031 correct=362 acc=0.467
800/11031 correct=376 acc=0.470
825/11031 correct=388 acc=0.470
850/11031 correct=405 acc=0.476
875/11031 correct=421 acc=0.481
900/11031 correct=437 acc=0.486
925/11031 correct=448 acc=0.484
950/11031 correct=454 acc=0.478
975/11031 correct=455 acc=0.467
1000/11031 correct=458 acc=0.458
1025/11031 correct=458 acc=0.447
1050/11031 correct=460 acc=0.438
1075/11031 correct=462 acc=0.430
1100/11031 correct=463 acc=0.421
1125/11031 correct=468 acc=0.416
1150/11031 correct=471 acc=0.410
1175/11031 correct=473 acc=0.403
1200/11031 correct=485 acc=0.404
1225/11031 correct=498 acc=0.407
1250/11031 correct=513 acc=0.410
1275/11031 correct=529 acc=0.415
1300/11031 correct=546 acc=0.420
1325/11031 correct=563 acc=0.425
1350/11031 correct=578 acc=0.428
1375/11031 correct=594 acc=0.432
1400/11031 correct=612 acc=0.437
1425/11031 correct=623 acc=0.437
1450/11031 correct=633 acc=0.437
1475/11031 correct=639 acc=0.433
1500/11031 correct=648 acc=0.432
1525/11031 correct=658 acc=0.431
1550/11031 correct=668 acc=0.431
1575/11031 correct=678 acc=0.430
1600/11031 correct=685 acc=0.428
1625/11031 correct=691 acc=0.425
1650/11031 correct=697 acc=0.422
1675/11031 correct=706 acc=0.421
1700/11031 correct=719 acc=0.423
1725/11031 correct=744 acc=0.431
1750/11031 correct=767 acc=0.438
1775/11031 correct=789 acc=0.445
1800/11031 correct=812 acc=0.451
1825/11031 correct=834 acc=0.457
1850/11031 correct=855 acc=0.462
1875/11031 correct=879 acc=0.469
1900/11031 correct=902 acc=0.475
1925/11031 correct=926 acc=0.481
1950/11031 correct=944 acc=0.484
1975/11031 correct=961 acc=0.487
2000/11031 correct=979 acc=0.489
2025/11031 correct=995 acc=0.491
2050/11031 correct=1013 acc=0.494
2075/11031 correct=1027 acc=0.495
2100/11031 correct=1048 acc=0.499
2125/11031 correct=1064 acc=0.501
2150/11031 correct=1079 acc=0.502
2175/11031 correct=1097 acc=0.504
2200/11031 correct=1113 acc=0.506
2225/11031 correct=1128 acc=0.507
2250/11031 correct=1141 acc=0.507
2275/11031 correct=1156 acc=0.508
2300/11031 correct=1173 acc=0.510
2325/11031 correct=1194 acc=0.514
2350/11031 correct=1208 acc=0.514
2375/11031 correct=1225 acc=0.516
2400/11031 correct=1243 acc=0.518
2425/11031 correct=1261 acc=0.520
2450/11031 correct=1282 acc=0.523
2475/11031 correct=1302 acc=0.526
2500/11031 correct=1326 acc=0.530
2525/11031 correct=1347 acc=0.533
2550/11031 correct=1372 acc=0.538
2575/11031 correct=1393 acc=0.541
2600/11031 correct=1416 acc=0.545
2625/11031 correct=1437 acc=0.547
2650/11031 correct=1460 acc=0.551
2675/11031 correct=1483 acc=0.554
2700/11031 correct=1503 acc=0.557
2725/11031 correct=1519 acc=0.557
2750/11031 correct=1534 acc=0.558
2775/11031 correct=1551 acc=0.559
2800/11031 correct=1565 acc=0.559
2825/11031 correct=1577 acc=0.558
2850/11031 correct=1592 acc=0.559
2875/11031 correct=1608 acc=0.559
2900/11031 correct=1621 acc=0.559
2925/11031 correct=1636 acc=0.559
2950/11031 correct=1645 acc=0.558
2975/11031 correct=1646 acc=0.553
3000/11031 correct=1647 acc=0.549
3025/11031 correct=1647 acc=0.544
3050/11031 correct=1648 acc=0.540
3075/11031 correct=1649 acc=0.536
3100/11031 correct=1650 acc=0.532
3125/11031 correct=1651 acc=0.528
3150/11031 correct=1652 acc=0.524
3175/11031 correct=1652 acc=0.520
3200/11031 correct=1661 acc=0.519
3225/11031 correct=1675 acc=0.519
3250/11031 correct=1690 acc=0.520
3275/11031 correct=1701 acc=0.519
3300/11031 correct=1720 acc=0.521
3325/11031 correct=1734 acc=0.522
3350/11031 correct=1755 acc=0.524
3375/11031 correct=1774 acc=0.526
3400/11031 correct=1787 acc=0.526
3425/11031 correct=1803 acc=0.526
3450/11031 correct=1820 acc=0.528
3475/11031 correct=1837 acc=0.529
3500/11031 correct=1849 acc=0.528
3525/11031 correct=1860 acc=0.528
3550/11031 correct=1876 acc=0.528
3575/11031 correct=1897 acc=0.531
3600/11031 correct=1914 acc=0.532
3625/11031 correct=1933 acc=0.533
3650/11031 correct=1947 acc=0.533
3675/11031 correct=1962 acc=0.534
3700/11031 correct=1970 acc=0.532
3725/11031 correct=1979 acc=0.531
3750/11031 correct=1988 acc=0.530
3775/11031 correct=1990 acc=0.527
3800/11031 correct=1997 acc=0.526
3825/11031 correct=2004 acc=0.524
3850/11031 correct=2014 acc=0.523
3875/11031 correct=2026 acc=0.523
3900/11031 correct=2038 acc=0.523
3925/11031 correct=2052 acc=0.523
3950/11031 correct=2064 acc=0.523
3975/11031 correct=2077 acc=0.523
4000/11031 correct=2089 acc=0.522
4025/11031 correct=2101 acc=0.522
4050/11031 correct=2112 acc=0.521
4075/11031 correct=2123 acc=0.521
4100/11031 correct=2136 acc=0.521
4125/11031 correct=2154 acc=0.522
4150/11031 correct=2166 acc=0.522
4175/11031 correct=2185 acc=0.523
4200/11031 correct=2201 acc=0.524
4225/11031 correct=2218 acc=0.525
4250/11031 correct=2235 acc=0.526
4275/11031 correct=2256 acc=0.528
4300/11031 correct=2273 acc=0.529
4325/11031 correct=2290 acc=0.529
4350/11031 correct=2304 acc=0.530
4375/11031 correct=2319 acc=0.530
4400/11031 correct=2333 acc=0.530
4425/11031 correct=2343 acc=0.529
4450/11031 correct=2360 acc=0.530
4475/11031 correct=2374 acc=0.531
4500/11031 correct=2390 acc=0.531
4525/11031 correct=2405 acc=0.531
4550/11031 correct=2419 acc=0.532
4575/11031 correct=2429 acc=0.531
4600/11031 correct=2447 acc=0.532
4625/11031 correct=2464 acc=0.533
4650/11031 correct=2481 acc=0.534
4675/11031 correct=2498 acc=0.534
4700/11031 correct=2517 acc=0.536
4725/11031 correct=2534 acc=0.536
4750/11031 correct=2553 acc=0.537
4775/11031 correct=2571 acc=0.538
4800/11031 correct=2583 acc=0.538
4825/11031 correct=2602 acc=0.539
4850/11031 correct=2615 acc=0.539
4875/11031 correct=2630 acc=0.539
4900/11031 correct=2644 acc=0.540
4925/11031 correct=2659 acc=0.540
4950/11031 correct=2673 acc=0.540
4975/11031 correct=2687 acc=0.540
5000/11031 correct=2700 acc=0.540
5025/11031 correct=2723 acc=0.542
5050/11031 correct=2748 acc=0.544
5075/11031 correct=2773 acc=0.546
5100/11031 correct=2798 acc=0.549
5125/11031 correct=2823 acc=0.551
5150/11031 correct=2848 acc=0.553
5175/11031 correct=2872 acc=0.555
5200/11031 correct=2897 acc=0.557
5225/11031 correct=2922 acc=0.559
5250/11031 correct=2947 acc=0.561
5275/11031 correct=2962 acc=0.562
5300/11031 correct=2966 acc=0.560
5325/11031 correct=2968 acc=0.557
5350/11031 correct=2974 acc=0.556
5375/11031 correct=2980 acc=0.554
5400/11031 correct=2986 acc=0.553
5425/11031 correct=2991 acc=0.551
5450/11031 correct=2996 acc=0.550
5475/11031 correct=3002 acc=0.548
5500/11031 correct=3006 acc=0.547
5525/11031 correct=3011 acc=0.545
5550/11031 correct=3011 acc=0.543
5575/11031 correct=3018 acc=0.541
5600/11031 correct=3021 acc=0.539
