25/11031 correct=19 acc=0.760
50/11031 correct=35 acc=0.700
75/11031 correct=53 acc=0.707
100/11031 correct=70 acc=0.700
125/11031 correct=89 acc=0.712
150/11031 correct=110 acc=0.733
175/11031 correct=129 acc=0.737
200/11031 correct=148 acc=0.740
225/11031 correct=166 acc=0.738
250/11031 correct=186 acc=0.744
275/11031 correct=186 acc=0.676
300/11031 correct=186 acc=0.620
325/11031 correct=187 acc=0.575
350/11031 correct=188 acc=0.537
375/11031 correct=188 acc=0.501
400/11031 correct=189 acc=0.472
425/11031 correct=190 acc=0.447
450/11031 correct=190 acc=0.422
475/11031 correct=190 acc=0.400
500/11031 correct=190 acc=0.380
525/11031 correct=190 acc=0.362
550/11031 correct=190 acc=0.345
575/11031 correct=190 acc=0.330
600/11031 correct=190 acc=0.317
625/11031 correct=191 acc=0.306
650/11031 correct=192 acc=0.295
675/11031 correct=193 acc=0.286
700/11031 correct=199 acc=0.284
725/11031 correct=205 acc=0.283
750/11031 correct=211 acc=0.281
775/11031 correct=219 acc=0.283
800/11031 correct=228 acc=0.285
825/11031 correct=229 acc=0.278
850/11031 correct=240 acc=0.282
875/11031 correct=244 acc=0.279
900/11031 correct=253 acc=0.281
925/11031 correct=260 acc=0.281
950/11031 correct=261 acc=0.275
975/11031 correct=261 acc=0.268
1000/11031 correct=261 acc=0.261
1025/11031 correct=261 acc=0.255
1050/11031 correct=261 acc=0.249
1075/11031 correct=261 acc=0.243
1100/11031 correct=261 acc=0.237
1125/11031 correct=261 acc=0.232
1150/11031 correct=261 acc=0.227
1175/11031 correct=261 acc=0.222
1200/11031 correct=261 acc=0.217
1225/11031 correct=261 acc=0.213
1250/11031 correct=261 acc=0.209
1275/11031 correct=261 acc=0.205
1300/11031 correct=261 acc=0.201
1325/11031 correct=261 acc=0.197
1350/11031 correct=261 acc=0.193
1375/11031 correct=261 acc=0.190
1400/11031 correct=261 acc=0.186
1425/11031 correct=261 acc=0.183
1450/11031 correct=261 acc=0.180
1475/11031 correct=261 acc=0.177
1500/11031 correct=261 acc=0.174
1525/11031 correct=261 acc=0.171
1550/11031 correct=261 acc=0.168
1575/11031 correct=261 acc=0.166
1600/11031 correct=261 acc=0.163
1625/11031 correct=261 acc=0.161
1650/11031 correct=261 acc=0.158
1675/11031 correct=261 acc=0.156
1700/11031 correct=261 acc=0.154
1725/11031 correct=263 acc=0.152
1750/11031 correct=264 acc=0.151
1775/11031 correct=264 acc=0.149
1800/11031 correct=265 acc=0.147
1825/11031 correct=268 acc=0.147
1850/11031 correct=269 acc=0.145
1875/11031 correct=270 acc=0.144
1900/11031 correct=273 acc=0.144
1925/11031 correct=274 acc=0.142
1950/11031 correct=275 acc=0.141
1975/11031 correct=275 acc=0.139
2000/11031 correct=275 acc=0.138
2025/11031 correct=275 acc=0.136
2050/11031 correct=275 acc=0.134
2075/11031 correct=275 acc=0.133
2100/11031 correct=275 acc=0.131
2125/11031 correct=275 acc=0.129
2150/11031 correct=275 acc=0.128
2175/11031 correct=275 acc=0.126
2200/11031 correct=275 acc=0.125
2225/11031 correct=275 acc=0.124
2250/11031 correct=275 acc=0.122
2275/11031 correct=275 acc=0.121
2300/11031 correct=275 acc=0.120
2325/11031 correct=275 acc=0.118
2350/11031 correct=275 acc=0.117
2375/11031 correct=275 acc=0.116
2400/11031 correct=275 acc=0.115
2425/11031 correct=275 acc=0.113
2450/11031 correct=275 acc=0.112
2475/11031 correct=275 acc=0.111
2500/11031 correct=276 acc=0.110
2525/11031 correct=277 acc=0.110
2550/11031 correct=279 acc=0.109
2575/11031 correct=281 acc=0.109
2600/11031 correct=281 acc=0.108
2625/11031 correct=284 acc=0.108
2650/11031 correct=284 acc=0.107
2675/11031 correct=287 acc=0.107
2700/11031 correct=288 acc=0.107
2725/11031 correct=288 acc=0.106
2750/11031 correct=288 acc=0.105
2775/11031 correct=288 acc=0.104
2800/11031 correct=288 acc=0.103
2825/11031 correct=288 acc=0.102
2850/11031 correct=288 acc=0.101
2875/11031 correct=288 acc=0.100
2900/11031 correct=288 acc=0.099
2925/11031 correct=288 acc=0.098
2950/11031 correct=288 acc=0.098
2975/11031 correct=290 acc=0.097
3000/11031 correct=291 acc=0.097
3025/11031 correct=293 acc=0.097
3050/11031 correct=296 acc=0.097
3075/11031 correct=296 acc=0.096
3100/11031 correct=296 acc=0.095
3125/11031 correct=301 acc=0.096
3150/11031 correct=303 acc=0.096
3175/11031 correct=306 acc=0.096
3200/11031 correct=309 acc=0.097
3225/11031 correct=310 acc=0.096
3250/11031 correct=312 acc=0.096
3275/11031 correct=317 acc=0.097
3300/11031 correct=318 acc=0.096
3325/11031 correct=321 acc=0.097
3350/11031 correct=324 acc=0.097
3375/11031 correct=329 acc=0.097
3400/11031 correct=329 acc=0.097
3425/11031 correct=332 acc=0.097
3450/11031 correct=343 acc=0.099
3475/11031 correct=364 acc=0.105
3500/11031 correct=382 acc=0.109
3525/11031 correct=398 acc=0.113
3550/11031 correct=417 acc=0.117
3575/11031 correct=437 acc=0.122
3600/11031 correct=459 acc=0.128
3625/11031 correct=476 acc=0.131
3650/11031 correct=493 acc=0.135
3675/11031 correct=510 acc=0.139
3700/11031 correct=522 acc=0.141
3725/11031 correct=529 acc=0.142
3750/11031 correct=540 acc=0.144
3775/11031 correct=543 acc=0.144
3800/11031 correct=547 acc=0.144
3825/11031 correct=556 acc=0.145
3850/11031 correct=573 acc=0.149
3875/11031 correct=592 acc=0.153
3900/11031 correct=606 acc=0.155
3925/11031 correct=624 acc=0.159
3950/11031 correct=642 acc=0.163
3975/11031 correct=659 acc=0.166
4000/11031 correct=677 acc=0.169
4025/11031 correct=695 acc=0.173
4050/11031 correct=713 acc=0.176
4075/11031 correct=729 acc=0.179
4100/11031 correct=736 acc=0.180
4125/11031 correct=739 acc=0.179
4150/11031 correct=744 acc=0.179
4175/11031 correct=747 acc=0.179
4200/11031 correct=754 acc=0.180
4225/11031 correct=759 acc=0.180
4250/11031 correct=764 acc=0.180
4275/11031 correct=767 acc=0.179
4300/11031 correct=770 acc=0.179
4325/11031 correct=773 acc=0.179
4350/11031 correct=774 acc=0.178
4375/11031 correct=774 acc=0.177
4400/11031 correct=775 acc=0.176
4425/11031 correct=775 acc=0.175
4450/11031 correct=775 acc=0.174
4475/11031 correct=777 acc=0.174
4500/11031 correct=778 acc=0.173
4525/11031 correct=778 acc=0.172
4550/11031 correct=778 acc=0.171
4575/11031 correct=779 acc=0.170
4600/11031 correct=781 acc=0.170
4625/11031 correct=785 acc=0.170
4650/11031 correct=787 acc=0.169
4675/11031 correct=789 acc=0.169
4700/11031 correct=791 acc=0.168
4725/11031 correct=794 acc=0.168
4750/11031 correct=799 acc=0.168
4775/11031 correct=802 acc=0.168
4800/11031 correct=803 acc=0.167
4825/11031 correct=810 acc=0.168
4850/11031 correct=812 acc=0.167
4875/11031 correct=815 acc=0.167
4900/11031 correct=817 acc=0.167
4925/11031 correct=819 acc=0.166
4950/11031 correct=821 acc=0.166
4975/11031 correct=822 acc=0.165
5000/11031 correct=822 acc=0.164
5025/11031 correct=824 acc=0.164
5050/11031 correct=824 acc=0.163
5075/11031 correct=824 acc=0.162
5100/11031 correct=824 acc=0.162
5125/11031 correct=824 acc=0.161
5150/11031 correct=824 acc=0.160
5175/11031 correct=824 acc=0.159
5200/11031 correct=824 acc=0.158
5225/11031 correct=824 acc=0.158
5250/11031 correct=824 acc=0.157
5275/11031 correct=824 acc=0.156
5300/11031 correct=824 acc=0.155
5325/11031 correct=824 acc=0.155
5350/11031 correct=824 acc=0.154
5375/11031 correct=824 acc=0.153
5400/11031 correct=824 acc=0.153
5425/11031 correct=824 acc=0.152
5450/11031 correct=824 acc=0.151
5475/11031 correct=824 acc=0.151
5500/11031 correct=824 acc=0.150
5525/11031 correct=824 acc=0.149
5550/11031 correct=824 acc=0.148
5575/11031 correct=824 acc=0.148
5600/11031 correct=824 acc=0.147
5625/11031 correct=824 acc=0.146
5650/11031 correct=824 acc=0.146
5675/11031 correct=824 acc=0.145
5700/11031 correct=824 acc=0.145
5725/11031 correct=824 acc=0.144
5750/11031 correct=824 acc=0.143
5775/11031 correct=824 acc=0.143
5800/11031 correct=824 acc=0.142
5825/11031 correct=824 acc=0.141
5850/11031 correct=824 acc=0.141
5875/11031 correct=824 acc=0.140
5900/11031 correct=824 acc=0.140
5925/11031 correct=824 acc=0.139
5950/11031 correct=824 acc=0.138
5975/11031 correct=824 acc=0.138
6000/11031 correct=824 acc=0.137
6025/11031 correct=824 acc=0.137
6050/11031 correct=825 acc=0.136
6075/11031 correct=825 acc=0.136
6100/11031 correct=825 acc=0.135
6125/11031 correct=825 acc=0.135
6150/11031 correct=825 acc=0.134
6175/11031 correct=826 acc=0.134
6200/11031 correct=827 acc=0.133
6225/11031 correct=827 acc=0.133
6250/11031 correct=828 acc=0.132
6275/11031 correct=829 acc=0.132
6300/11031 correct=832 acc=0.132
6325/11031 correct=832 acc=0.132
6350/11031 correct=834 acc=0.131
6375/11031 correct=834 acc=0.131
6400/11031 correct=835 acc=0.130
6425/11031 correct=836 acc=0.130
6450/11031 correct=836 acc=0.130
6475/11031 correct=837 acc=0.129
6500/11031 correct=838 acc=0.129
6525/11031 correct=839 acc=0.129
6550/11031 correct=839 acc=0.128
6575/11031 correct=839 acc=0.128
6600/11031 correct=839 acc=0.127
6625/11031 correct=839 acc=0.127
6650/11031 correct=839 acc=0.126
6675/11031 correct=839 acc=0.126
6700/11031 correct=839 acc=0.125
6725/11031 correct=839 acc=0.125
6750/11031 correct=839 acc=0.124
6775/11031 correct=839 acc=0.124
6800/11031 correct=839 acc=0.123
6825/11031 correct=839 acc=0.123
6850/11031 correct=839 acc=0.122
6875/11031 correct=839 acc=0.122
6900/11031 correct=839 acc=0.122
6925/11031 correct=839 acc=0.121
6950/11031 correct=839 acc=0.121
6975/11031 correct=839 acc=0.120
7000/11031 correct=839 acc=0.120
7025/11031 correct=839 acc=0.119
7050/11031 correct=839 acc=0.119
7075/11031 correct=839 acc=0.119
7100/11031 correct=839 acc=0.118
7125/11031 correct=840 acc=0.118
7150/11031 correct=840 acc=0.117
7175/11031 correct=840 acc=0.117
7200/11031 correct=840 acc=0.117
7225/11031 correct=840 acc=0.116
7250/11031 correct=840 acc=0.116
7275/11031 correct=840 acc=0.115
7300/11031 correct=840 acc=0.115
7325/11031 correct=840 acc=0.115
7350/11031 correct=840 acc=0.114
7375/11031 correct=840 acc=0.114
7400/11031 correct=844 acc=0.114
7425/11031 correct=844 acc=0.114
7450/11031 correct=844 acc=0.113
7475/11031 correct=844 acc=0.113
7500/11031 correct=844 acc=0.113
7525/11031 correct=844 acc=0.112
7550/11031 correct=844 acc=0.112
7575/11031 correct=844 acc=0.111
7600/11031 correct=844 acc=0.111
7625/11031 correct=844 acc=0.111
7650/11031 correct=844 acc=0.110
7675/11031 correct=844 acc=0.110
7700/11031 correct=844 acc=0.110
7725/11031 correct=844 acc=0.109
7750/11031 correct=844 acc=0.109
7775/11031 correct=844 acc=0.109
7800/11031 correct=844 acc=0.108
7825/11031 correct=844 acc=0.108
7850/11031 correct=844 acc=0.108
7875/11031 correct=844 acc=0.107
7900/11031 correct=844 acc=0.107
7925/11031 correct=844 acc=0.106
7950/11031 correct=844 acc=0.106
7975/11031 correct=844 acc=0.106
8000/11031 correct=844 acc=0.105
8025/11031 correct=844 acc=0.105
8050/11031 correct=844 acc=0.105
8075/11031 correct=844 acc=0.105
8100/11031 correct=844 acc=0.104
8125/11031 correct=844 acc=0.104
8150/11031 correct=844 acc=0.104
8175/11031 correct=844 acc=0.103
8200/11031 correct=844 acc=0.103
8225/11031 correct=844 acc=0.103
8250/11031 correct=844 acc=0.102
8275/11031 correct=844 acc=0.102
8300/11031 correct=844 acc=0.102
8325/11031 correct=844 acc=0.101
8350/11031 correct=844 acc=0.101
8375/11031 correct=844 acc=0.101
8400/11031 correct=844 acc=0.100
8425/11031 correct=844 acc=0.100
8450/11031 correct=844 acc=0.100
8475/11031 correct=844 acc=0.100
8500/11031 correct=844 acc=0.099
8525/11031 correct=844 acc=0.099
8550/11031 correct=844 acc=0.099
8575/11031 correct=844 acc=0.098
8600/11031 correct=844 acc=0.098
8625/11031 correct=844 acc=0.098
8650/11031 correct=844 acc=0.098
8675/11031 correct=844 acc=0.097
8700/11031 correct=844 acc=0.097
8725/11031 correct=844 acc=0.097
8750/11031 correct=844 acc=0.096
8775/11031 correct=844 acc=0.096
8800/11031 correct=844 acc=0.096
8825/11031 correct=844 acc=0.096
8850/11031 correct=844 acc=0.095
8875/11031 correct=844 acc=0.095
8900/11031 correct=844 acc=0.095
8925/11031 correct=844 acc=0.095
8950/11031 correct=844 acc=0.094
8975/11031 correct=844 acc=0.094
9000/11031 correct=844 acc=0.094
9025/11031 correct=844 acc=0.094
9050/11031 correct=844 acc=0.093
9075/11031 correct=844 acc=0.093
9100/11031 correct=844 acc=0.093
9125/11031 correct=844 acc=0.092
9150/11031 correct=844 acc=0.092
9175/11031 correct=844 acc=0.092
9200/11031 correct=844 acc=0.092
9225/11031 correct=844 acc=0.091
9250/11031 correct=844 acc=0.091
9275/11031 correct=844 acc=0.091
9300/11031 correct=844 acc=0.091
9325/11031 correct=844 acc=0.091
9350/11031 correct=844 acc=0.090
9375/11031 correct=844 acc=0.090
9400/11031 correct=844 acc=0.090
9425/11031 correct=844 acc=0.090
9450/11031 correct=844 acc=0.089
9475/11031 correct=844 acc=0.089
9500/11031 correct=844 acc=0.089
9525/11031 correct=844 acc=0.089
9550/11031 correct=844 acc=0.088
9575/11031 correct=844 acc=0.088
9600/11031 correct=844 acc=0.088
9625/11031 correct=844 acc=0.088
9650/11031 correct=844 acc=0.087
9675/11031 correct=844 acc=0.087
9700/11031 correct=844 acc=0.087
9725/11031 correct=844 acc=0.087
9750/11031 correct=844 acc=0.087
9775/11031 correct=844 acc=0.086
9800/11031 correct=844 acc=0.086
9825/11031 correct=844 acc=0.086
9850/11031 correct=844 acc=0.086
9875/11031 correct=844 acc=0.085
9900/11031 correct=844 acc=0.085
9925/11031 correct=844 acc=0.085
9950/11031 correct=844 acc=0.085
9975/11031 correct=844 acc=0.085
10000/11031 correct=844 acc=0.084
10025/11031 correct=844 acc=0.084
10050/11031 correct=844 acc=0.084
10075/11031 correct=844 acc=0.084
10100/11031 correct=844 acc=0.084
10125/11031 correct=844 acc=0.083
10150/11031 correct=844 acc=0.083
10175/11031 correct=844 acc=0.083
10200/11031 correct=844 acc=0.083
10225/11031 correct=844 acc=0.083
10250/11031 correct=844 acc=0.082
10275/11031 correct=844 acc=0.082
10300/11031 correct=844 acc=0.082
10325/11031 correct=844 acc=0.082
10350/11031 correct=844 acc=0.082
10375/11031 correct=844 acc=0.081
10400/11031 correct=844 acc=0.081
10425/11031 correct=844 acc=0.081
10450/11031 correct=844 acc=0.081
10475/11031 correct=844 acc=0.081
10500/11031 correct=844 acc=0.080
10525/11031 correct=844 acc=0.080
10550/11031 correct=844 acc=0.080
10575/11031 correct=844 acc=0.080
10600/11031 correct=844 acc=0.080
10625/11031 correct=844 acc=0.079
10650/11031 correct=844 acc=0.079
10675/11031 correct=844 acc=0.079
10700/11031 correct=844 acc=0.079
10725/11031 correct=844 acc=0.079
10750/11031 correct=844 acc=0.079
10775/11031 correct=844 acc=0.078
10800/11031 correct=844 acc=0.078
10825/11031 correct=844 acc=0.078
10850/11031 correct=844 acc=0.078
10875/11031 correct=844 acc=0.078
10900/11031 correct=844 acc=0.077
10925/11031 correct=844 acc=0.077
10950/11031 correct=844 acc=0.077
10975/11031 correct=844 acc=0.077
11000/11031 correct=844 acc=0.077
11025/11031 correct=844 acc=0.077
11031/11031 correct=844 acc=0.077
{
  "started_at": "2026-07-06T19:02:59.054273+00:00",
  "finished_at": "2026-07-07T01:38:29.903501+00:00",
  "base_url": "http://127.0.0.1:8888/v1",
  "model": "SubTokenLLM",
  "prompt_strategy": "plan_and_solve",
  "prompt_strategy_description": "Plan-and-Solve with final answer delimiter.",
  "prompt_template": "{input}\n\nFirst write a short plan. Then solve according to the plan.\nEnd with exactly one line in this format: The final answer is: <answer>",
  "self_consistency_k": 1,
  "system_messages_sent": 0,
  "request_message_shape": [
    {
      "role": "user",
      "content": "<benchmark prompt>"
    }
  ],
  "limit_per_task": null,
  "parallel": 2,
  "max_tokens": 256,
  "temperature": 0.0,
  "benchmarks": [
    {
      "benchmark": "bbeh",
      "correct": 5,
      "total": 4520,
      "micro_accuracy": 0.0011061946902654867,
      "macro_accuracy": 0.0016666666666666666,
      "harmonic_task_accuracy": 0.0,
      "tasks": 23
    },
    {
      "benchmark": "bbh",
      "correct": 839,
      "total": 6511,
      "micro_accuracy": 0.1288588542466595,
      "macro_accuracy": 0.13035208992202718,
      "harmonic_task_accuracy": 0.0,
      "tasks": 27
    }
  ],
  "tasks": [
    {
      "benchmark": "bbeh",
      "task": "bbeh_boardgame_qa",
      "correct": 0,
      "total": 200,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbeh",
      "task": "bbeh_boolean_expressions",
      "correct": 0,
      "total": 200,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbeh",
      "task": "bbeh_buggy_tables",
      "correct": 0,
      "total": 200,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbeh",
      "task": "bbeh_causal_understanding",
      "correct": 1,
      "total": 200,
      "accuracy": 0.005
    },
    {
      "benchmark": "bbeh",
      "task": "bbeh_disambiguation_qa",
      "correct": 4,
      "total": 120,
      "accuracy": 0.03333333333333333
    },
    {
      "benchmark": "bbeh",
      "task": "bbeh_dyck_languages",
      "correct": 0,
      "total": 200,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbeh",
      "task": "bbeh_geometric_shapes",
      "correct": 0,
      "total": 200,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbeh",
      "task": "bbeh_hyperbaton",
      "correct": 0,
      "total": 200,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbeh",
      "task": "bbeh_linguini",
      "correct": 0,
      "total": 200,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbeh",
      "task": "bbeh_movie_recommendation",
      "correct": 0,
      "total": 200,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbeh",
      "task": "bbeh_multistep_arithmetic",
      "correct": 0,
      "total": 200,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbeh",
      "task": "bbeh_nycc",
      "correct": 0,
      "total": 200,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbeh",
      "task": "bbeh_object_counting",
      "correct": 0,
      "total": 200,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbeh",
      "task": "bbeh_object_properties",
      "correct": 0,
      "total": 200,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbeh",
      "task": "bbeh_sarc_triples",
      "correct": 0,
      "total": 200,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbeh",
      "task": "bbeh_shuffled_objects",
      "correct": 0,
      "total": 200,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbeh",
      "task": "bbeh_spatial_reasoning",
      "correct": 0,
      "total": 200,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbeh",
      "task": "bbeh_sportqa",
      "correct": 0,
      "total": 200,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbeh",
      "task": "bbeh_temporal_sequence",
      "correct": 0,
      "total": 200,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbeh",
      "task": "bbeh_time_arithmetic",
      "correct": 0,
      "total": 200,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbeh",
      "task": "bbeh_web_of_lies",
      "correct": 0,
      "total": 200,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbeh",
      "task": "bbeh_word_sorting",
      "correct": 0,
      "total": 200,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbeh",
      "task": "bbeh_zebra_puzzles",
      "correct": 0,
      "total": 200,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbh",
      "task": "boolean_expressions",
      "correct": 186,
      "total": 250,
      "accuracy": 0.744
    },
    {
      "benchmark": "bbh",
      "task": "causal_judgement",
      "correct": 4,
      "total": 187,
      "accuracy": 0.0213903743315508
    },
    {
      "benchmark": "bbh",
      "task": "date_understanding",
      "correct": 4,
      "total": 250,
      "accuracy": 0.016
    },
    {
      "benchmark": "bbh",
      "task": "disambiguation_qa",
      "correct": 67,
      "total": 250,
      "accuracy": 0.268
    },
    {
      "benchmark": "bbh",
      "task": "dyck_languages",
      "correct": 0,
      "total": 250,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbh",
      "task": "formal_fallacies",
      "correct": 0,
      "total": 250,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbh",
      "task": "geometric_shapes",
      "correct": 0,
      "total": 250,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbh",
      "task": "hyperbaton",
      "correct": 14,
      "total": 250,
      "accuracy": 0.056
    },
    {
      "benchmark": "bbh",
      "task": "logical_deduction_five_objects",
      "correct": 0,
      "total": 250,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbh",
      "task": "logical_deduction_seven_objects",
      "correct": 0,
      "total": 250,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbh",
      "task": "logical_deduction_three_objects",
      "correct": 13,
      "total": 250,
      "accuracy": 0.052
    },
    {
      "benchmark": "bbh",
      "task": "movie_recommendation",
      "correct": 0,
      "total": 250,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbh",
      "task": "multistep_arithmetic_two",
      "correct": 18,
      "total": 250,
      "accuracy": 0.072
    },
    {
      "benchmark": "bbh",
      "task": "navigate",
      "correct": 27,
      "total": 250,
      "accuracy": 0.108
    },
    {
      "benchmark": "bbh",
      "task": "object_counting",
      "correct": 184,
      "total": 250,
      "accuracy": 0.736
    },
    {
      "benchmark": "bbh",
      "task": "penguins_in_a_table",
      "correct": 43,
      "total": 146,
      "accuracy": 0.2945205479452055
    },
    {
      "benchmark": "bbh",
      "task": "reasoning_about_colored_objects",
      "correct": 174,
      "total": 250,
      "accuracy": 0.696
    },
    {
      "benchmark": "bbh",
      "task": "ruin_names",
      "correct": 39,
      "total": 250,
      "accuracy": 0.156
    },
    {
      "benchmark": "bbh",
      "task": "salient_translation_error_detection",
      "correct": 6,
      "total": 250,
      "accuracy": 0.024
    },
    {
      "benchmark": "bbh",
      "task": "snarks",
      "correct": 22,
      "total": 178,
      "accuracy": 0.12359550561797752
    },
    {
      "benchmark": "bbh",
      "task": "sports_understanding",
      "correct": 23,
      "total": 250,
      "accuracy": 0.092
    },
    {
      "benchmark": "bbh",
      "task": "temporal_sequences",
      "correct": 0,
      "total": 250,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbh",
      "task": "tracking_shuffled_objects_five_objects",
      "correct": 0,
      "total": 250,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbh",
      "task": "tracking_shuffled_objects_seven_objects",
      "correct": 0,
      "total": 250,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbh",
      "task": "tracking_shuffled_objects_three_objects",
      "correct": 0,
      "total": 250,
      "accuracy": 0.0
    },
    {
      "benchmark": "bbh",
      "task": "web_of_lies",
      "correct": 4,
      "total": 250,
      "accuracy": 0.016
    },
    {
      "benchmark": "bbh",
      "task": "word_sorting",
      "correct": 11,
      "total": 250,
      "accuracy": 0.044
    }
  ]
}
