25/11031 correct=22 acc=0.880
50/11031 correct=41 acc=0.820
75/11031 correct=61 acc=0.813
100/11031 correct=79 acc=0.790
125/11031 correct=101 acc=0.808
150/11031 correct=119 acc=0.793
175/11031 correct=140 acc=0.800
200/11031 correct=159 acc=0.795
225/11031 correct=180 acc=0.800
250/11031 correct=201 acc=0.804
275/11031 correct=213 acc=0.775
300/11031 correct=226 acc=0.753
325/11031 correct=237 acc=0.729
350/11031 correct=250 acc=0.714
375/11031 correct=263 acc=0.701
400/11031 correct=278 acc=0.695
425/11031 correct=294 acc=0.692
450/11031 correct=310 acc=0.689
475/11031 correct=323 acc=0.680
500/11031 correct=340 acc=0.680
525/11031 correct=355 acc=0.676
550/11031 correct=369 acc=0.671
575/11031 correct=386 acc=0.671
600/11031 correct=402 acc=0.670
625/11031 correct=420 acc=0.672
650/11031 correct=436 acc=0.671
675/11031 correct=453 acc=0.671
700/11031 correct=473 acc=0.676
725/11031 correct=481 acc=0.663
750/11031 correct=489 acc=0.652
775/11031 correct=500 acc=0.645
800/11031 correct=516 acc=0.645
825/11031 correct=520 acc=0.630
850/11031 correct=534 acc=0.628
875/11031 correct=544 acc=0.622
900/11031 correct=562 acc=0.624
925/11031 correct=572 acc=0.618
950/11031 correct=578 acc=0.608
975/11031 correct=580 acc=0.595
1000/11031 correct=582 acc=0.582
1025/11031 correct=584 acc=0.570
1050/11031 correct=587 acc=0.559
1075/11031 correct=587 acc=0.546
1100/11031 correct=590 acc=0.536
1125/11031 correct=591 acc=0.525
1150/11031 correct=594 acc=0.517
1175/11031 correct=596 acc=0.507
1200/11031 correct=598 acc=0.498
1225/11031 correct=600 acc=0.490
1250/11031 correct=604 acc=0.483
1275/11031 correct=608 acc=0.477
1300/11031 correct=612 acc=0.471
1325/11031 correct=619 acc=0.467
1350/11031 correct=621 acc=0.460
1375/11031 correct=624 acc=0.454
1400/11031 correct=629 acc=0.449
1425/11031 correct=630 acc=0.442
1450/11031 correct=634 acc=0.437
1475/11031 correct=634 acc=0.430
1500/11031 correct=637 acc=0.425
1525/11031 correct=641 acc=0.420
1550/11031 correct=642 acc=0.414
1575/11031 correct=646 acc=0.410
1600/11031 correct=649 acc=0.406
1625/11031 correct=651 acc=0.401
1650/11031 correct=653 acc=0.396
1675/11031 correct=655 acc=0.391
1700/11031 correct=666 acc=0.392
