25/11031 correct=12 acc=0.480
50/11031 correct=25 acc=0.500
75/11031 correct=37 acc=0.493
100/11031 correct=45 acc=0.450
125/11031 correct=54 acc=0.432
150/11031 correct=66 acc=0.440
175/11031 correct=83 acc=0.474
200/11031 correct=91 acc=0.455
225/11031 correct=104 acc=0.462
250/11031 correct=113 acc=0.452
275/11031 correct=114 acc=0.415
300/11031 correct=116 acc=0.387
325/11031 correct=118 acc=0.363
350/11031 correct=122 acc=0.349
375/11031 correct=123 acc=0.328
400/11031 correct=126 acc=0.315
425/11031 correct=129 acc=0.304
450/11031 correct=132 acc=0.293
475/11031 correct=134 acc=0.282
500/11031 correct=137 acc=0.274
525/11031 correct=141 acc=0.269
550/11031 correct=147 acc=0.267
575/11031 correct=149 acc=0.259
600/11031 correct=152 acc=0.253
625/11031 correct=157 acc=0.251
650/11031 correct=161 acc=0.248
675/11031 correct=161 acc=0.239
700/11031 correct=167 acc=0.239
725/11031 correct=171 acc=0.236
750/11031 correct=176 acc=0.235
775/11031 correct=184 acc=0.237
800/11031 correct=190 acc=0.237
825/11031 correct=191 acc=0.232
850/11031 correct=199 acc=0.234
875/11031 correct=201 acc=0.230
900/11031 correct=208 acc=0.231
925/11031 correct=212 acc=0.229
950/11031 correct=214 acc=0.225
975/11031 correct=214 acc=0.219
1000/11031 correct=214 acc=0.214
1025/11031 correct=214 acc=0.209
1050/11031 correct=214 acc=0.204
1075/11031 correct=214 acc=0.199
1100/11031 correct=214 acc=0.195
1125/11031 correct=215 acc=0.191
1150/11031 correct=215 acc=0.187
1175/11031 correct=215 acc=0.183
1200/11031 correct=215 acc=0.179
1225/11031 correct=215 acc=0.176
1250/11031 correct=216 acc=0.173
1275/11031 correct=216 acc=0.169
1300/11031 correct=217 acc=0.167
1325/11031 correct=217 acc=0.164
1350/11031 correct=217 acc=0.161
1375/11031 correct=217 acc=0.158
1400/11031 correct=218 acc=0.156
1425/11031 correct=218 acc=0.153
1450/11031 correct=218 acc=0.150
1475/11031 correct=218 acc=0.148
1500/11031 correct=218 acc=0.145
1525/11031 correct=218 acc=0.143
1550/11031 correct=218 acc=0.141
1575/11031 correct=218 acc=0.138
1600/11031 correct=218 acc=0.136
1625/11031 correct=218 acc=0.134
1650/11031 correct=218 acc=0.132
1675/11031 correct=218 acc=0.130
1700/11031 correct=222 acc=0.131
1725/11031 correct=228 acc=0.132
1750/11031 correct=234 acc=0.134
1775/11031 correct=242 acc=0.136
1800/11031 correct=247 acc=0.137
1825/11031 correct=257 acc=0.141
1850/11031 correct=266 acc=0.144
1875/11031 correct=271 acc=0.145
1900/11031 correct=280 acc=0.147
1925/11031 correct=290 acc=0.151
1950/11031 correct=294 acc=0.151
1975/11031 correct=294 acc=0.149
2000/11031 correct=294 acc=0.147
2025/11031 correct=294 acc=0.145
2050/11031 correct=294 acc=0.143
2075/11031 correct=294 acc=0.142
2100/11031 correct=294 acc=0.140
2125/11031 correct=294 acc=0.138
2150/11031 correct=294 acc=0.137
2175/11031 correct=294 acc=0.135
2200/11031 correct=294 acc=0.134
2225/11031 correct=294 acc=0.132
2250/11031 correct=294 acc=0.131
2275/11031 correct=294 acc=0.129
2300/11031 correct=294 acc=0.128
2325/11031 correct=294 acc=0.126
2350/11031 correct=294 acc=0.125
2375/11031 correct=294 acc=0.124
2400/11031 correct=294 acc=0.122
2425/11031 correct=294 acc=0.121
2450/11031 correct=296 acc=0.121
2475/11031 correct=301 acc=0.122
2500/11031 correct=306 acc=0.122
2525/11031 correct=313 acc=0.124
2550/11031 correct=322 acc=0.126
2575/11031 correct=329 acc=0.128
2600/11031 correct=335 acc=0.129
2625/11031 correct=341 acc=0.130
2650/11031 correct=344 acc=0.130
2675/11031 correct=352 acc=0.132
2700/11031 correct=355 acc=0.131
2725/11031 correct=355 acc=0.130
2750/11031 correct=355 acc=0.129
2775/11031 correct=355 acc=0.128
2800/11031 correct=355 acc=0.127
2825/11031 correct=355 acc=0.126
2850/11031 correct=355 acc=0.125
2875/11031 correct=355 acc=0.123
2900/11031 correct=355 acc=0.122
2925/11031 correct=355 acc=0.121
2950/11031 correct=355 acc=0.120
2975/11031 correct=355 acc=0.119
3000/11031 correct=355 acc=0.118
3025/11031 correct=355 acc=0.117
3050/11031 correct=355 acc=0.116
3075/11031 correct=355 acc=0.115
3100/11031 correct=355 acc=0.115
3125/11031 correct=355 acc=0.114
3150/11031 correct=355 acc=0.113
3175/11031 correct=356 acc=0.112
3200/11031 correct=358 acc=0.112
3225/11031 correct=362 acc=0.112
3250/11031 correct=364 acc=0.112
3275/11031 correct=371 acc=0.113
3300/11031 correct=371 acc=0.112
3325/11031 correct=379 acc=0.114
3350/11031 correct=383 acc=0.114
3375/11031 correct=385 acc=0.114
3400/11031 correct=389 acc=0.114
3425/11031 correct=397 acc=0.116
3450/11031 correct=410 acc=0.119
3475/11031 correct=432 acc=0.124
3500/11031 correct=455 acc=0.130
3525/11031 correct=476 acc=0.135
3550/11031 correct=499 acc=0.141
3575/11031 correct=523 acc=0.146
3600/11031 correct=547 acc=0.152
3625/11031 correct=571 acc=0.158
3650/11031 correct=595 acc=0.163
3675/11031 correct=616 acc=0.168
3700/11031 correct=633 acc=0.171
3725/11031 correct=641 acc=0.172
3750/11031 correct=656 acc=0.175
3775/11031 correct=662 acc=0.175
3800/11031 correct=673 acc=0.177
3825/11031 correct=683 acc=0.179
3850/11031 correct=699 acc=0.182
3875/11031 correct=718 acc=0.185
3900/11031 correct=734 acc=0.188
3925/11031 correct=752 acc=0.192
3950/11031 correct=771 acc=0.195
3975/11031 correct=787 acc=0.198
4000/11031 correct=806 acc=0.202
4025/11031 correct=826 acc=0.205
4050/11031 correct=846 acc=0.209
4075/11031 correct=866 acc=0.213
4100/11031 correct=874 acc=0.213
4125/11031 correct=876 acc=0.212
4150/11031 correct=876 acc=0.211
4175/11031 correct=879 acc=0.211
4200/11031 correct=881 acc=0.210
4225/11031 correct=883 acc=0.209
4250/11031 correct=887 acc=0.209
4275/11031 correct=889 acc=0.208
4300/11031 correct=889 acc=0.207
4325/11031 correct=892 acc=0.206
4350/11031 correct=895 acc=0.206
4375/11031 correct=896 acc=0.205
4400/11031 correct=897 acc=0.204
4425/11031 correct=898 acc=0.203
4450/11031 correct=901 acc=0.202
4475/11031 correct=902 acc=0.202
4500/11031 correct=904 acc=0.201
4525/11031 correct=905 acc=0.200
4550/11031 correct=906 acc=0.199
4575/11031 correct=906 acc=0.198
4600/11031 correct=911 acc=0.198
4625/11031 correct=916 acc=0.198
4650/11031 correct=922 acc=0.198
4675/11031 correct=929 acc=0.199
4700/11031 correct=934 acc=0.199
4725/11031 correct=939 acc=0.199
4750/11031 correct=946 acc=0.199
4775/11031 correct=949 acc=0.199
4800/11031 correct=953 acc=0.199
4825/11031 correct=957 acc=0.198
4850/11031 correct=958 acc=0.198
4875/11031 correct=960 acc=0.197
4900/11031 correct=962 acc=0.196
4925/11031 correct=963 acc=0.196
4950/11031 correct=966 acc=0.195
4975/11031 correct=966 acc=0.194
5000/11031 correct=966 acc=0.193
5025/11031 correct=966 acc=0.192
5050/11031 correct=966 acc=0.191
5075/11031 correct=966 acc=0.190
5100/11031 correct=966 acc=0.189
5125/11031 correct=966 acc=0.188
