25/11031 correct=14 acc=0.560
50/11031 correct=33 acc=0.660
75/11031 correct=46 acc=0.613
100/11031 correct=60 acc=0.600
125/11031 correct=73 acc=0.584
150/11031 correct=89 acc=0.593
175/11031 correct=100 acc=0.571
200/11031 correct=110 acc=0.550
225/11031 correct=122 acc=0.542
250/11031 correct=134 acc=0.536
275/11031 correct=147 acc=0.535
300/11031 correct=163 acc=0.543
325/11031 correct=180 acc=0.554
350/11031 correct=198 acc=0.566
375/11031 correct=209 acc=0.557
400/11031 correct=225 acc=0.562
425/11031 correct=240 acc=0.565
450/11031 correct=247 acc=0.549
475/11031 correct=247 acc=0.520
500/11031 correct=249 acc=0.498
525/11031 correct=250 acc=0.476
550/11031 correct=251 acc=0.456
575/11031 correct=252 acc=0.438
600/11031 correct=253 acc=0.422
625/11031 correct=254 acc=0.406
650/11031 correct=259 acc=0.398
675/11031 correct=259 acc=0.384
700/11031 correct=267 acc=0.381
725/11031 correct=276 acc=0.381
750/11031 correct=282 acc=0.376
775/11031 correct=295 acc=0.381
800/11031 correct=309 acc=0.386
825/11031 correct=317 acc=0.384
850/11031 correct=329 acc=0.387
875/11031 correct=339 acc=0.387
900/11031 correct=354 acc=0.393
925/11031 correct=362 acc=0.391
950/11031 correct=366 acc=0.385
975/11031 correct=366 acc=0.375
1000/11031 correct=367 acc=0.367
1025/11031 correct=367 acc=0.358
1050/11031 correct=367 acc=0.350
1075/11031 correct=367 acc=0.341
1100/11031 correct=367 acc=0.334
1125/11031 correct=368 acc=0.327
1150/11031 correct=369 acc=0.321
1175/11031 correct=369 acc=0.314
1200/11031 correct=369 acc=0.307
1225/11031 correct=369 acc=0.301
1250/11031 correct=369 acc=0.295
1275/11031 correct=369 acc=0.289
1300/11031 correct=369 acc=0.284
1325/11031 correct=369 acc=0.278
1350/11031 correct=369 acc=0.273
1375/11031 correct=369 acc=0.268
1400/11031 correct=369 acc=0.264
1425/11031 correct=369 acc=0.259
1450/11031 correct=369 acc=0.254
1475/11031 correct=369 acc=0.250
1500/11031 correct=369 acc=0.246
1525/11031 correct=369 acc=0.242
1550/11031 correct=369 acc=0.238
1575/11031 correct=369 acc=0.234
1600/11031 correct=369 acc=0.231
1625/11031 correct=369 acc=0.227
1650/11031 correct=369 acc=0.224
1675/11031 correct=369 acc=0.220
1700/11031 correct=379 acc=0.223
1725/11031 correct=399 acc=0.231
1750/11031 correct=416 acc=0.238
1775/11031 correct=435 acc=0.245
1800/11031 correct=457 acc=0.254
1825/11031 correct=479 acc=0.262
1850/11031 correct=499 acc=0.270
1875/11031 correct=519 acc=0.277
1900/11031 correct=541 acc=0.285
1925/11031 correct=562 acc=0.292
1950/11031 correct=571 acc=0.293
1975/11031 correct=571 acc=0.289
2000/11031 correct=571 acc=0.285
2025/11031 correct=571 acc=0.282
2050/11031 correct=571 acc=0.279
2075/11031 correct=571 acc=0.275
2100/11031 correct=571 acc=0.272
2125/11031 correct=571 acc=0.269
2150/11031 correct=571 acc=0.266
2175/11031 correct=571 acc=0.263
