25/11031 correct=2 acc=0.080
50/11031 correct=5 acc=0.100
75/11031 correct=11 acc=0.147
100/11031 correct=13 acc=0.130
125/11031 correct=14 acc=0.112
150/11031 correct=18 acc=0.120
175/11031 correct=21 acc=0.120
200/11031 correct=24 acc=0.120
225/11031 correct=27 acc=0.120
250/11031 correct=29 acc=0.116
275/11031 correct=31 acc=0.113
300/11031 correct=33 acc=0.110
325/11031 correct=38 acc=0.117
350/11031 correct=41 acc=0.117
375/11031 correct=44 acc=0.117
400/11031 correct=49 acc=0.122
425/11031 correct=53 acc=0.125
450/11031 correct=55 acc=0.122
475/11031 correct=57 acc=0.120
500/11031 correct=59 acc=0.118
525/11031 correct=59 acc=0.112
550/11031 correct=59 acc=0.107
575/11031 correct=61 acc=0.106
600/11031 correct=62 acc=0.103
625/11031 correct=64 acc=0.102
650/11031 correct=66 acc=0.102
675/11031 correct=67 acc=0.099
700/11031 correct=70 acc=0.100
725/11031 correct=70 acc=0.097
750/11031 correct=70 acc=0.093
775/11031 correct=71 acc=0.092
800/11031 correct=72 acc=0.090
825/11031 correct=72 acc=0.087
850/11031 correct=73 acc=0.086
875/11031 correct=73 acc=0.083
900/11031 correct=73 acc=0.081
925/11031 correct=75 acc=0.081
950/11031 correct=75 acc=0.079
975/11031 correct=75 acc=0.077
1000/11031 correct=75 acc=0.075
1025/11031 correct=75 acc=0.073
1050/11031 correct=75 acc=0.071
1075/11031 correct=75 acc=0.070
1100/11031 correct=75 acc=0.068
1125/11031 correct=76 acc=0.068
1150/11031 correct=76 acc=0.066
1175/11031 correct=76 acc=0.065
1200/11031 correct=76 acc=0.063
1225/11031 correct=76 acc=0.062
1250/11031 correct=76 acc=0.061
1275/11031 correct=76 acc=0.060
1300/11031 correct=76 acc=0.058
1325/11031 correct=76 acc=0.057
1350/11031 correct=76 acc=0.056
1375/11031 correct=76 acc=0.055
1400/11031 correct=76 acc=0.054
1425/11031 correct=76 acc=0.053
1450/11031 correct=76 acc=0.052
1475/11031 correct=76 acc=0.052
1500/11031 correct=76 acc=0.051
1525/11031 correct=76 acc=0.050
1550/11031 correct=76 acc=0.049
1575/11031 correct=76 acc=0.048
1600/11031 correct=76 acc=0.048
1625/11031 correct=76 acc=0.047
1650/11031 correct=76 acc=0.046
1675/11031 correct=76 acc=0.045
1700/11031 correct=76 acc=0.045
1725/11031 correct=76 acc=0.044
1750/11031 correct=76 acc=0.043
1775/11031 correct=76 acc=0.043
1800/11031 correct=76 acc=0.042
1825/11031 correct=76 acc=0.042
1850/11031 correct=76 acc=0.041
1875/11031 correct=76 acc=0.041
1900/11031 correct=76 acc=0.040
1925/11031 correct=76 acc=0.039
1950/11031 correct=77 acc=0.039
1975/11031 correct=77 acc=0.039
2000/11031 correct=77 acc=0.038
2025/11031 correct=77 acc=0.038
2050/11031 correct=77 acc=0.038
2075/11031 correct=77 acc=0.037
2100/11031 correct=77 acc=0.037
2125/11031 correct=77 acc=0.036
2150/11031 correct=77 acc=0.036
2175/11031 correct=77 acc=0.035
2200/11031 correct=77 acc=0.035
2225/11031 correct=77 acc=0.035
2250/11031 correct=77 acc=0.034
2275/11031 correct=77 acc=0.034
2300/11031 correct=77 acc=0.033
2325/11031 correct=77 acc=0.033
2350/11031 correct=77 acc=0.033
2375/11031 correct=77 acc=0.032
2400/11031 correct=77 acc=0.032
2425/11031 correct=77 acc=0.032
2450/11031 correct=77 acc=0.031
2475/11031 correct=77 acc=0.031
2500/11031 correct=77 acc=0.031
2525/11031 correct=77 acc=0.030
2550/11031 correct=77 acc=0.030
2575/11031 correct=77 acc=0.030
2600/11031 correct=77 acc=0.030
2625/11031 correct=77 acc=0.029
2650/11031 correct=78 acc=0.029
2675/11031 correct=78 acc=0.029
2700/11031 correct=78 acc=0.029
2725/11031 correct=78 acc=0.029
2750/11031 correct=78 acc=0.028
2775/11031 correct=78 acc=0.028
2800/11031 correct=78 acc=0.028
2825/11031 correct=78 acc=0.028
