25/11040 correct=24 acc=0.960
50/11040 correct=43 acc=0.860
75/11040 correct=64 acc=0.853
100/11040 correct=82 acc=0.820
125/11040 correct=97 acc=0.776
150/11040 correct=114 acc=0.760
175/11040 correct=131 acc=0.749
200/11040 correct=147 acc=0.735
225/11040 correct=166 acc=0.738
250/11040 correct=183 acc=0.732
275/11040 correct=200 acc=0.727
300/11040 correct=216 acc=0.720
325/11040 correct=228 acc=0.702
350/11040 correct=243 acc=0.694
375/11040 correct=259 acc=0.691
400/11040 correct=272 acc=0.680
425/11040 correct=287 acc=0.675
450/11040 correct=303 acc=0.673
475/11040 correct=320 acc=0.674
500/11040 correct=334 acc=0.668
525/11040 correct=346 acc=0.659
550/11040 correct=362 acc=0.658
575/11040 correct=375 acc=0.652
600/11040 correct=389 acc=0.648
625/11040 correct=400 acc=0.640
650/11040 correct=411 acc=0.632
675/11040 correct=427 acc=0.633
700/11040 correct=442 acc=0.631
725/11040 correct=456 acc=0.629
750/11040 correct=472 acc=0.629
775/11040 correct=490 acc=0.632
800/11040 correct=508 acc=0.635
825/11040 correct=523 acc=0.634
850/11040 correct=528 acc=0.621
875/11040 correct=531 acc=0.607
900/11040 correct=531 acc=0.590
925/11040 correct=533 acc=0.576
950/11040 correct=535 acc=0.563
975/11040 correct=536 acc=0.550
1000/11040 correct=541 acc=0.541
1025/11040 correct=544 acc=0.531
1050/11040 correct=546 acc=0.520
1075/11040 correct=554 acc=0.515
1100/11040 correct=568 acc=0.516
1125/11040 correct=584 acc=0.519
1150/11040 correct=601 acc=0.523
1175/11040 correct=617 acc=0.525
1200/11040 correct=633 acc=0.527
1225/11040 correct=650 acc=0.531
1250/11040 correct=668 acc=0.534
1275/11040 correct=679 acc=0.533
1300/11040 correct=687 acc=0.528
1325/11040 correct=696 acc=0.525
1350/11040 correct=706 acc=0.523
1375/11040 correct=717 acc=0.521
1400/11040 correct=726 acc=0.519
1425/11040 correct=733 acc=0.514
1450/11040 correct=738 acc=0.509
1475/11040 correct=745 acc=0.505
1500/11040 correct=754 acc=0.503
1525/11040 correct=770 acc=0.505
1550/11040 correct=793 acc=0.512
1575/11040 correct=815 acc=0.517
1600/11040 correct=838 acc=0.524
1625/11040 correct=860 acc=0.529
1650/11040 correct=881 acc=0.534
1675/11040 correct=904 acc=0.540
1700/11040 correct=928 acc=0.546
1725/11040 correct=952 acc=0.552
1750/11040 correct=971 acc=0.555
1775/11040 correct=989 acc=0.557
1800/11040 correct=1005 acc=0.558
1825/11040 correct=1023 acc=0.561
1850/11040 correct=1037 acc=0.561
1875/11040 correct=1059 acc=0.565
1900/11040 correct=1075 acc=0.566
1925/11040 correct=1091 acc=0.567
1950/11040 correct=1109 acc=0.569
1975/11040 correct=1122 acc=0.568
2000/11040 correct=1135 acc=0.568
2025/11040 correct=1151 acc=0.568
2050/11040 correct=1167 acc=0.569
2075/11040 correct=1188 acc=0.573
2100/11040 correct=1203 acc=0.573
2125/11040 correct=1221 acc=0.575
2150/11040 correct=1238 acc=0.576
2175/11040 correct=1257 acc=0.578
2200/11040 correct=1275 acc=0.580
2225/11040 correct=1298 acc=0.583
2250/11040 correct=1319 acc=0.586
2275/11040 correct=1344 acc=0.591
2300/11040 correct=1365 acc=0.593
2325/11040 correct=1388 acc=0.597
2350/11040 correct=1409 acc=0.600
2375/11040 correct=1432 acc=0.603
2400/11040 correct=1455 acc=0.606
2425/11040 correct=1473 acc=0.607
2450/11040 correct=1488 acc=0.607
2475/11040 correct=1505 acc=0.608
2500/11040 correct=1519 acc=0.608
2525/11040 correct=1531 acc=0.606
2550/11040 correct=1546 acc=0.606
2575/11040 correct=1562 acc=0.607
2600/11040 correct=1574 acc=0.605
2625/11040 correct=1590 acc=0.606
2650/11040 correct=1600 acc=0.604
2675/11040 correct=1601 acc=0.599
2700/11040 correct=1601 acc=0.593
2725/11040 correct=1602 acc=0.588
2750/11040 correct=1603 acc=0.583
2775/11040 correct=1604 acc=0.578
2800/11040 correct=1605 acc=0.573
2825/11040 correct=1606 acc=0.568
2850/11040 correct=1606 acc=0.564
2875/11040 correct=1613 acc=0.561
2900/11040 correct=1628 acc=0.561
2925/11040 correct=1640 acc=0.561
2950/11040 correct=1657 acc=0.562
2975/11040 correct=1672 acc=0.562
3000/11040 correct=1693 acc=0.564
3025/11040 correct=1712 acc=0.566
3050/11040 correct=1725 acc=0.566
3075/11040 correct=1741 acc=0.566
3100/11040 correct=1760 acc=0.568
3125/11040 correct=1773 acc=0.567
3150/11040 correct=1784 acc=0.566
3175/11040 correct=1800 acc=0.567
3200/11040 correct=1821 acc=0.569
3225/11040 correct=1836 acc=0.569
3250/11040 correct=1855 acc=0.571
3275/11040 correct=1869 acc=0.571
3300/11040 correct=1884 acc=0.571
3325/11040 correct=1898 acc=0.571
3350/11040 correct=1916 acc=0.572
3375/11040 correct=1926 acc=0.571
3400/11040 correct=1941 acc=0.571
3425/11040 correct=1955 acc=0.571
3450/11040 correct=1974 acc=0.572
3475/11040 correct=1991 acc=0.573
3500/11040 correct=2012 acc=0.575
3525/11040 correct=2029 acc=0.576
3550/11040 correct=2048 acc=0.577
3575/11040 correct=2065 acc=0.578
3600/11040 correct=2082 acc=0.578
3625/11040 correct=2101 acc=0.580
3650/11040 correct=2117 acc=0.580
3675/11040 correct=2134 acc=0.581
3700/11040 correct=2150 acc=0.581
3725/11040 correct=2168 acc=0.582
3750/11040 correct=2184 acc=0.582
3775/11040 correct=2202 acc=0.583
3800/11040 correct=2222 acc=0.585
3825/11040 correct=2244 acc=0.587
3850/11040 correct=2262 acc=0.588
3875/11040 correct=2281 acc=0.589
3900/11040 correct=2299 acc=0.589
3925/11040 correct=2313 acc=0.589
3950/11040 correct=2325 acc=0.589
3975/11040 correct=2341 acc=0.589
4000/11040 correct=2356 acc=0.589
4025/11040 correct=2372 acc=0.589
4050/11040 correct=2388 acc=0.590
4075/11040 correct=2406 acc=0.590
4100/11040 correct=2416 acc=0.589
4125/11040 correct=2433 acc=0.590
4150/11040 correct=2449 acc=0.590
4175/11040 correct=2466 acc=0.591
4200/11040 correct=2485 acc=0.592
4225/11040 correct=2502 acc=0.592
4250/11040 correct=2521 acc=0.593
4275/11040 correct=2541 acc=0.594
4300/11040 correct=2559 acc=0.595
4325/11040 correct=2576 acc=0.596
4350/11040 correct=2592 acc=0.596
4375/11040 correct=2608 acc=0.596
4400/11040 correct=2627 acc=0.597
4425/11040 correct=2643 acc=0.597
4450/11040 correct=2658 acc=0.597
4475/11040 correct=2672 acc=0.597
4500/11040 correct=2693 acc=0.598
4525/11040 correct=2718 acc=0.601
4550/11040 correct=2743 acc=0.603
4575/11040 correct=2768 acc=0.605
4600/11040 correct=2793 acc=0.607
4625/11040 correct=2817 acc=0.609
4650/11040 correct=2842 acc=0.611
4675/11040 correct=2867 acc=0.613
4700/11040 correct=2892 acc=0.615
4725/11040 correct=2904 acc=0.615
4750/11040 correct=2910 acc=0.613
4775/11040 correct=2916 acc=0.611
4800/11040 correct=2918 acc=0.608
4825/11040 correct=2926 acc=0.606
4850/11040 correct=2931 acc=0.604
4875/11040 correct=2937 acc=0.602
4900/11040 correct=2943 acc=0.601
4925/11040 correct=2949 acc=0.599
4950/11040 correct=2955 acc=0.597
4975/11040 correct=2958 acc=0.595
5000/11040 correct=2960 acc=0.592
5025/11040 correct=2963 acc=0.590
5050/11040 correct=2965 acc=0.587
5075/11040 correct=2971 acc=0.585
5100/11040 correct=2975 acc=0.583
5125/11040 correct=2980 acc=0.581
5150/11040 correct=2984 acc=0.579
5175/11040 correct=2993 acc=0.578
5200/11040 correct=3005 acc=0.578
5225/11040 correct=3018 acc=0.578
5250/11040 correct=3027 acc=0.577
5275/11040 correct=3032 acc=0.575
